回号	1~14_rank	15~29_rank	30~43_rank	mean_rank	min_rank	max_rank	1~14_rank_z	15~29_rank_z	30~43_rank_z	mean_rank_z	min_rank_z	max_rank_z	anomaly_score
第1959回	0	4	2	27.67	20	39	-1.8292036808754686	1.7405313893186287	0.04155643359897447	1.2050386025337556	2.7039187548442714	0.25344641630091663	3.6112915037930717
第1958回	1	2	3	29.33	12	43	-0.9034248879912523	-0.062104962656382955	0.9700146474286917	1.5561389206155254	1.1274548565737628	1.0747288874439622	1.935544498076327
第1957回	2	2	2	24.17	6	39	0.02235390489296395	-0.062104962656382955	0.04155643359897447	0.46476684754207104	-0.05489306712911891	0.25344641630091663	0.12601530114832138
第1956回	2	2	2	23.67	4	39	0.02235390489296395	-0.062104962656382955	0.04155643359897447	0.35901373968611605	-0.4490090416967461	0.25344641630091663	0.12601530114832138
第1955回	2	1	3	23.5	2	40	0.02235390489296395	-0.9634231386438888	0.9700146474286917	0.323057683015091	-0.8431250162643733	0.458767034086678	1.9557916909655444
第1954回	2	2	2	24.33	1	43	0.02235390489296395	-0.062104962656382955	0.04155643359897447	0.49860784205597586	-1.040183003548187	1.0747288874439622	0.12601530114832138
第1953回	2	1	3	22.0	6	38	0.02235390489296395	-0.9634231386438888	0.9700146474286917	0.005798359447226177	-0.05489306712911891	0.04812579851515525	1.9557916909655444
第1952回	1	1	4	31.33	6	42	-0.9034248879912523	-0.9634231386438888	1.898472861258409	1.9791513520393451	-0.05489306712911891	0.8694082696582007	3.7653208878935502
第1951回	2	2	2	22.67	9	40	0.02235390489296395	-0.062104962656382955	0.04155643359897447	0.14750752397420616	0.5362808947223219	0.458767034086678	0.12601530114832138
第1950回	2	2	2	22.17	4	40	0.02235390489296395	-0.062104962656382955	0.04155643359897447	0.041754416118251224	-0.4490090416967461	0.458767034086678	0.12601530114832138
第1949回	0	1	5	33.5	21	42	-1.8292036808754686	-0.9634231386438888	2.826931075088126	2.43811984013419	2.900976742128085	0.8694082696582007	5.619557894607484
第1948回	3	0	3	22.33	3	40	0.9481326977771802	-1.8647413146313947	0.9700146474286917	0.07559541063215608	-0.6460670289805597	0.458767034086678	3.7828886598372664
第1947回	3	2	1	17.83	5	30	0.9481326977771802	-0.062104962656382955	-0.8869017802307427	-0.8761825600714385	-0.25195105441293253	-1.5944391437709358	1.897139440664306
第1946回	2	2	2	24.67	10	40	0.02235390489296395	-0.062104962656382955	0.04155643359897447	0.5705199553980259	0.7333388820061355	0.458767034086678	0.12601530114832138
第1945回	3	2	1	18.17	9	43	0.9481326977771802	-0.062104962656382955	-0.8869017802307427	-0.8042704467293884	0.5362808947223219	1.0747288874439622	1.897139440664306
第1944回	1	2	3	27.83	7	42	-0.9034248879912523	-0.062104962656382955	0.9700146474286917	1.2388795970476605	0.1421649201546947	0.8694082696582007	1.935544498076327
第1943回	1	0	5	31.67	8	41	-0.9034248879912523	-1.8647413146313947	2.826931075088126	2.0510634653813953	0.3392229074385083	0.6640876518724393	5.595097277710773
第1942回	1	3	2	21.83	3	35	-0.9034248879912523	0.839213213331123	0.04155643359897447	-0.030157697223798866	-0.6460670289805597	-0.5678360548421288	1.7841945349213497
第1941回	2	0	4	26.5	4	43	0.02235390489296395	-1.8647413146313947	1.898472861258409	0.9575763301508207	-0.4490090416967461	1.0747288874439622	3.7855680807827676
第1940回	1	3	2	24.67	13	40	-0.9034248879912523	0.839213213331123	0.04155643359897447	0.5705199553980259	1.3245128438575764	0.458767034086678	1.7841945349213497
第1939回	2	3	1	17.67	2	30	0.02235390489296395	0.839213213331123	-0.8869017802307427	-0.9100235545853433	-0.8431250162643733	-1.5944391437709358	1.7484688984548296
第1938回	2	2	2	22.33	2	42	0.02235390489296395	-0.062104962656382955	0.04155643359897447	0.07559541063215608	-0.8431250162643733	0.8694082696582007	0.12601530114832138
第1937回	1	1	4	29.83	12	40	-0.9034248879912523	-0.9634231386438888	1.898472861258409	1.6618920284714802	1.1274548565737628	0.458767034086678	3.7653208878935502
第1936回	3	1	2	17.33	3	39	0.9481326977771802	-0.9634231386438888	0.04155643359897447	-0.9819356679273934	-0.6460670289805597	0.25344641630091663	1.9531122700200436
第1935回	0	3	3	28.5	18	38	-1.8292036808754686	0.839213213331123	0.9700146474286917	1.3805887615746406	2.3098027802766445	0.04812579851515525	3.638431541635283
第1934回	0	5	1	26.67	18	41	-1.8292036808754686	2.641849565306135	-0.8869017802307427	0.9935323868218457	2.3098027802766445	0.6640876518724393	5.3579550264123466
第1933回	2	3	1	18.17	6	41	0.02235390489296395	0.839213213331123	-0.8869017802307427	-0.8042704467293884	-0.05489306712911891	0.6640876518724393	1.7484688984548296
第1932回	2	0	4	24.0	2	36	0.02235390489296395	-1.8647413146313947	1.898472861258409	0.42881079087104595	-0.8431250162643733	-0.3625154370563675	3.7855680807827676
第1931回	2	3	1	17.83	4	34	0.02235390489296395	0.839213213331123	-0.8869017802307427	-0.8761825600714385	-0.4490090416967461	-0.7731566726278902	1.7484688984548296
第1930回	3	3	0	12.5	2	24	0.9481326977771802	0.839213213331123	-1.81535999406046	-2.0035106898159176	-0.8431250162643733	-2.826362850485504	3.6027059051687633
第1929回	1	1	4	31.33	7	43	-0.9034248879912523	-0.9634231386438888	1.898472861258409	1.9791513520393451	0.1421649201546947	1.0747288874439622	3.7653208878935502
第1928回	3	1	2	18.67	1	43	0.9481326977771802	-0.9634231386438888	0.04155643359897447	-0.6985173388734334	-1.040183003548187	1.0747288874439622	1.9531122700200436
第1927回	2	2	2	23.5	4	43	0.02235390489296395	-0.062104962656382955	0.04155643359897447	0.323057683015091	-0.4490090416967461	1.0747288874439622	0.12601530114832138
第1926回	1	2	3	26.5	5	41	-0.9034248879912523	-0.062104962656382955	0.9700146474286917	0.9575763301508207	-0.25195105441293253	0.6640876518724393	1.935544498076327
第1925回	2	3	1	20.67	3	39	0.02235390489296395	0.839213213331123	-0.8869017802307427	-0.27550490744961365	-0.6460670289805597	0.25344641630091663	1.7484688984548296
第1924回	2	2	2	23.83	7	43	0.02235390489296395	-0.062104962656382955	0.04155643359897447	0.3928547342000209	0.1421649201546947	1.0747288874439622	0.12601530114832138
第1923回	2	2	2	23.17	6	43	0.02235390489296395	-0.062104962656382955	0.04155643359897447	0.2532606318301611	-0.05489306712911891	1.0747288874439622	0.12601530114832138
第1922回	2	2	2	20.83	1	41	0.02235390489296395	-0.062104962656382955	0.04155643359897447	-0.24166391293570877	-1.040183003548187	0.6640876518724393	0.12601530114832138
第1921回	1	3	2	23.33	2	37	-0.9034248879912523	0.839213213331123	0.04155643359897447	0.287101626344066	-0.8431250162643733	-0.15719481927060613	1.7841945349213497
第1920回	3	2	1	19.67	7	41	0.9481326977771802	-0.062104962656382955	-0.8869017802307427	-0.4870111231615235	0.1421649201546947	0.6640876518724393	1.897139440664306
第1919回	1	3	2	21.0	3	36	-0.9034248879912523	0.839213213331123	0.04155643359897447	-0.2057078562646837	-0.6460670289805597	-0.3625154370563675	1.7841945349213497
第1918回	3	2	1	18.5	7	42	0.9481326977771802	-0.062104962656382955	-0.8869017802307427	-0.7344733955444585	0.1421649201546947	0.8694082696582007	1.897139440664306
第1917回	2	3	1	19.33	2	43	0.02235390489296395	0.839213213331123	-0.8869017802307427	-0.5589232365035736	-0.8431250162643733	1.0747288874439622	1.7484688984548296
第1916回	2	1	3	26.5	10	37	0.02235390489296395	-0.9634231386438888	0.9700146474286917	0.9575763301508207	0.7333388820061355	-0.15719481927060613	1.9557916909655444
